scope,category_th,category_en,sub_category,resource,unit,ef_value,id,ref_source
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-508B,kg,11698,6b74dc94-387a-4284-956a-ae1085213b9f,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,SF6,kg,23500,221004d9-27db-496e-aa2f-3be9022ce87d,
2,การใช้พลังงานไฟฟ้า,Purchased Electricity,,ความร้อน,,,3120278b-c88f-4443-89da-f8d6b0180717,
2,การใช้พลังงานไฟฟ้า,Purchased Electricity,,ความเย็น,,,28428736-3aa0-4285-b30b-06803823fd7d,
2,การใช้พลังงานไฟฟ้า,Purchased Electricity,,อากาศอัด,,,3721f611-dc69-423a-a72f-4e5f22a2c3a0,
2,การใช้พลังงานไฟฟ้า,Purchased Electricity,,โซลาร์เซลล์,kWh,0,f49917b7-ad95-4659-a387-a285f72d709f,
2,การใช้พลังงานไฟฟ้า,Purchased Electricity,,ไอน้ำ,,,e9d7ec9d-1c46-4da6-a3c0-62dae1bc81ba,
2,การใช้พลังงานไฟฟ้า,Purchased Electricity,,ไฟฟ้าแบบ grid mix ปี 2022-2024; LCIA method IPCC 2013 GWP 100a V1.03 (CFO Scope2),kWh,0.475,d6550840-c860-4410-9629-877a8300f082,
3,Category 1 การซื้อวัตถุดิบ และบริการ,Category 1 Purchased goods and services,กลุ่มแก้วและกระจก,กระจกฉนวนความร้อน,kg,1.7043,0cf23a2e-42b0-493a-afb2-d2e6e7b63cb2,
3,Category 1 การซื้อวัตถุดิบ และบริการ,Category 1 Purchased goods and services,กลุ่มแก้วและกระจก,กระจกนิรภัยชั้นเดียว,kg,3.1359,0e417007-be0c-4812-860d-99d0c59da3b1,
3,Category 1 การซื้อวัตถุดิบ และบริการ,Category 1 Purchased goods and services,กลุ่มแก้วและกระจก,กระจกนิรภัยหลายชั้น,kg,2.4449,edb76ced-ddda-4b49-9ff2-8535d72b7811,
3,Category 1 การซื้อวัตถุดิบ และบริการ,Category 1 Purchased goods and services,กลุ่มแก้วและกระจก,กระจกแผ่นเรียบ,kg,1.271,b740a170-d5c5-4e58-b806-5f52a6538f76,
